Date, Open, High, Low, Close
2022-02-04, 7528.84, 7599.73, 7497.21, 7516.40
2022-02-03, 7583.00, 7605.75, 7528.69, 7528.84
2022-02-02, 7535.78, 7605.64, 7535.78, 7583.00
2022-02-01, 7464.37, 7549.29, 7463.01, 7535.78
2022-01-31, 7466.07, 7523.95, 7450.89, 7464.37
2022-01-28, 7554.31, 7554.31, 7420.20, 7466.07
2022-01-27, 7469.78, 7596.70, 7388.80, 7554.31
2022-01-26, 7371.46, 7525.58, 7371.46, 7469.78
2022-01-25, 7297.15, 7382.60, 7297.15, 7371.46
2022-01-24, 7494.13, 7494.13, 7283.38, 7297.15
2022-01-21, 7585.01, 7585.01, 7450.49, 7494.13
2022-01-20, 7589.66, 7619.01, 7549.87, 7585.01
2022-01-19, 7563.55, 7614.93, 7525.15, 7589.66
2022-01-18, 7611.23, 7613.05, 7531.96, 7563.55
2022-01-17, 7542.95, 7616.06, 7542.95, 7611.23
2022-01-14, 7563.85, 7568.16, 7523.02, 7542.95
2022-01-13, 7551.72, 7566.46, 7530.12, 7563.85
2022-01-12, 7491.37, 7564.20, 7491.37, 7551.72
2022-01-11, 7445.25, 7497.12, 7445.25, 7491.37
2022-01-10, 7485.28, 7496.12, 7422.94, 7445.25
2022-01-07, 7450.37, 7485.28, 7431.86, 7485.28
2022-01-06, 7516.87, 7516.87, 7419.95, 7450.37
2022-01-05, 7505.15, 7529.97, 7484.28, 7516.87
2022-01-04, 7384.54, 7520.79, 7384.54, 7505.15
2021-12-31, 7403.01, 7403.01, 7357.10, 7384.54
2021-12-30, 7420.69, 7433.39, 7403.01, 7403.01
2021-12-29, 7372.10, 7457.14, 7372.10, 7420.69
2021-12-28, 7372.10, 7372.10, 7372.10, 7372.10
2021-12-27, 7372.10, 7372.10, 7372.10, 7372.10
2021-12-24, 7373.34, 7403.65, 7368.83, 7372.10
2021-12-23, 7341.66, 7385.42, 7331.05, 7373.34
2021-12-22, 7297.41, 7341.66, 7273.45, 7341.66
2021-12-21, 7198.03, 7297.41, 7198.03, 7297.41
2021-12-20, 7269.92, 7269.92, 7101.04, 7198.03
2021-12-17, 7260.61, 7286.50, 7236.17, 7269.92
2021-12-16, 7170.75, 7273.34, 7170.75, 7260.61
2021-12-15, 7218.64, 7224.85, 7166.83, 7170.75
2021-12-14, 7231.44, 7284.47, 7218.64, 7218.64
2021-12-13, 7291.78, 7309.23, 7226.63, 7231.44
